Nome,Região,Período,Resultado
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2024,4999
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2013,699
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2018,3026
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2022,3725
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2014,738
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2019,2444
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2015,1247
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2023,5292
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2016,1523
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BOM RETIRO (DISTRITO),2020,2781
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2015,1042
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2014,508
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2020,1553
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2025,4028
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2022,2177
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2016,1260
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2017,1420
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2019,1557
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2024,3266
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2023,2831
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2013,539
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2021,1617
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRAS (DISTRITO),2018,1535
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2023,24146
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2019,12809
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2017,13711
010101 QUANTIDADE DE FAMILIAS EM SITUACAO DE EXTREMA POBREZA (ATE 14 SALARIO MINIMO),BRASILANDIA (DISTRITO),2025,15029
